source,target
Chaouia-Ouardigha,
Doukkala-Abda,
Fès-Boulemane,
Gharb-Chrarda-BéniHssen,
GrandCasablanca,
Guelmim-Es-Semara,
Laâyoune-Boujdour-SakiaElH,
Marrakech-Tensift-AlHaouz,
Meknès-Tafilalet,
Oriental,
Rabat-Salé-Zemmour-Zaer,
Souss-Massa-Draâ,
Tadla-Azilal,
Tanger-Tétouan,
Taza-AlHoceima-Taounate,
